REF_DATE,North American Product Classification System (NAPCS),VALUE
Jun-22,Fabricated metal products and construction materials [P63],144.8
Jul-22,Fabricated metal products and construction materials [P63],144.5
Aug-22,Fabricated metal products and construction materials [P63],144
Sep-22,Fabricated metal products and construction materials [P63],143.8
Oct-22,Fabricated metal products and construction materials [P63],143.6
Nov-22,Fabricated metal products and construction materials [P63],142.9
Dec-22,Fabricated metal products and construction materials [P63],143.9
Jan-23,Fabricated metal products and construction materials [P63],143.3
Feb-23,Fabricated metal products and construction materials [P63],142.5
Mar-23,Fabricated metal products and construction materials [P63],139.5
Apr-23,Fabricated metal products and construction materials [P63],139.9
May-23,Fabricated metal products and construction materials [P63],140.3
Jun-23,Fabricated metal products and construction materials [P63],139
Jul-23,Fabricated metal products and construction materials [P63],140.8
Aug-23,Fabricated metal products and construction materials [P63],142
Sep-23,Fabricated metal products and construction materials [P63],141.3
Oct-23,Fabricated metal products and construction materials [P63],140.4
Nov-23,Fabricated metal products and construction materials [P63],139.4
Dec-23,Fabricated metal products and construction materials [P63],139.2
Jan-24,Fabricated metal products and construction materials [P63],139.4
Feb-24,Fabricated metal products and construction materials [P63],139
Mar-24,Fabricated metal products and construction materials [P63],139.2
Apr-24,Fabricated metal products and construction materials [P63],139.5
May-24,Fabricated metal products and construction materials [P63],139.2
Jun-24,Fabricated metal products and construction materials [P63],138.5
Jul-24,Fabricated metal products and construction materials [P63],139.6
Aug-24,Fabricated metal products and construction materials [P63],139.8
Sep-24,Fabricated metal products and construction materials [P63],138.7
Oct-24,Fabricated metal products and construction materials [P63],139.5
Nov-24,Fabricated metal products and construction materials [P63],139.3
Dec-24,Fabricated metal products and construction materials [P63],140.2
Jan-25,Fabricated metal products and construction materials [P63],142.3
Mar-20,Motorized and recreational vehicles [P71],101.9
Apr-20,Motorized and recreational vehicles [P71],102.3
May-20,Motorized and recreational vehicles [P71],102.4
Jun-20,Motorized and recreational vehicles [P71],101.2
Jul-20,Motorized and recreational vehicles [P71],101.1
Aug-20,Motorized and recreational vehicles [P71],100.3
Sep-20,Motorized and recreational vehicles [P71],100.3
Oct-20,Motorized and recreational vehicles [P71],100.3
Nov-20,Motorized and recreational vehicles [P71],99.9
Dec-20,Motorized and recreational vehicles [P71],99.6
Jan-21,Motorized and recreational vehicles [P71],99.5
Feb-21,Motorized and recreational vehicles [P71],99.5
Mar-21,Motorized and recreational vehicles [P71],99.1
Apr-21,Motorized and recreational vehicles [P71],99.3
May-21,Motorized and recreational vehicles [P71],98.5
Jun-21,Motorized and recreational vehicles [P71],98.9
Jul-21,Motorized and recreational vehicles [P71],99.7
Aug-21,Motorized and recreational vehicles [P71],100.2
Sep-21,Motorized and recreational vehicles [P71],101
Oct-21,Motorized and recreational vehicles [P71],100.9
Nov-21,Motorized and recreational vehicles [P71],101.3
Dec-21,Motorized and recreational vehicles [P71],101.8
Jan-22,Motorized and recreational vehicles [P71],102
Feb-22,Motorized and recreational vehicles [P71],103
Mar-22,Motorized and recreational vehicles [P71],103.1
Apr-22,Motorized and recreational vehicles [P71],103.9
May-22,Motorized and recreational vehicles [P71],104.8
Jun-22,Motorized and recreational vehicles [P71],104.9
Jul-22,Motorized and recreational vehicles [P71],105.7
Aug-22,Motorized and recreational vehicles [P71],105.6
Sep-22,Motorized and recreational vehicles [P71],107.7
Oct-22,Motorized and recreational vehicles [P71],109.4
Nov-22,Motorized and recreational vehicles [P71],108.9
Dec-22,Motorized and recreational vehicles [P71],109.9
Jan-23,Motorized and recreational vehicles [P71],110.4
Feb-23,Motorized and recreational vehicles [P71],110.3
Mar-23,Motorized and recreational vehicles [P71],111.2
Apr-23,Motorized and recreational vehicles [P71],110.7
May-23,Motorized and recreational vehicles [P71],111.2
Jun-23,Motorized and recreational vehicles [P71],110.7
Jul-23,Motorized and recreational vehicles [P71],110.8
Aug-23,Motorized and recreational vehicles [P71],111.8
Sep-23,Motorized and recreational vehicles [P71],112.5
Oct-23,Motorized and recreational vehicles [P71],112.8
Nov-23,Motorized and recreational vehicles [P71],112.8
Dec-23,Motorized and recreational vehicles [P71],112.1
Jan-24,Motorized and recreational vehicles [P71],112.1
Feb-24,Motorized and recreational vehicles [P71],112.3
Mar-24,Motorized and recreational vehicles [P71],112.6
Apr-24,Motorized and recreational vehicles [P71],113.7
May-24,Motorized and recreational vehicles [P71],113.6
Jun-24,Motorized and recreational vehicles [P71],113.5
Jul-24,Motorized and recreational vehicles [P71],113.1
Aug-24,Motorized and recreational vehicles [P71],113.3
Sep-24,Motorized and recreational vehicles [P71],113.2
Oct-24,Motorized and recreational vehicles [P71],113.7
Nov-24,Motorized and recreational vehicles [P71],114.6
Dec-24,Motorized and recreational vehicles [P71],115.6
Jan-25,Motorized and recreational vehicles [P71],116.2
Mar-20,Machinery and equipment [P72],102.4
Apr-20,Machinery and equipment [P72],103
May-20,Machinery and equipment [P72],102.6
Jun-20,Machinery and equipment [P72],102.1
Jul-20,Machinery and equipment [P72],101.5
Aug-20,Machinery and equipment [P72],101.3
Sep-20,Machinery and equipment [P72],101.7
Oct-20,Machinery and equipment [P72],101.6
Nov-20,Machinery and equipment [P72],101.3
Dec-20,Machinery and equipment [P72],101.5
Jan-21,Machinery and equipment [P72],101.2
Feb-21,Machinery and equipment [P72],103.4
Mar-21,Machinery and equipment [P72],103.1
Apr-21,Machinery and equipment [P72],102.1
May-21,Machinery and equipment [P72],101.7
Jun-21,Machinery and equipment [P72],101.9
Jul-21,Machinery and equipment [P72],102.7
Aug-21,Machinery and equipment [P72],102.9
Sep-21,Machinery and equipment [P72],103.4
Oct-21,Machinery and equipment [P72],104.2
Nov-21,Machinery and equipment [P72],104.6
Dec-21,Machinery and equipment [P72],105.5
Jan-22,Machinery and equipment [P72],107.1
Feb-22,Machinery and equipment [P72],108
Mar-22,Machinery and equipment [P72],107.9
Apr-22,Machinery and equipment [P72],108.6
May-22,Machinery and equipment [P72],109.8
Jun-22,Machinery and equipment [P72],110.1
Jul-22,Machinery and equipment [P72],111
Aug-22,Machinery and equipment [P72],111.9
Sep-22,Machinery and equipment [P72],113.3
Oct-22,Machinery and equipment [P72],115.3
Nov-22,Machinery and equipment [P72],114.4
Dec-22,Machinery and equipment [P72],115.2
Jan-23,Machinery and equipment [P72],114.9
Feb-23,Machinery and equipment [P72],116
Mar-23,Machinery and equipment [P72],117.1
Apr-23,Machinery and equipment [P72],117.1
May-23,Machinery and equipment [P72],117.9
Jun-23,Machinery and equipment [P72],117.1
Jul-23,Machinery and equipment [P72],116.8
Aug-23,Machinery and equipment [P72],117.4
Sep-23,Machinery and equipment [P72],116.7
Oct-23,Machinery and equipment [P72],117.5
Nov-23,Machinery and equipment [P72],117.7
Dec-23,Machinery and equipment [P72],117
Jan-24,Machinery and equipment [P72],118
Feb-24,Machinery and equipment [P72],118.7
Mar-24,Machinery and equipment [P72],120.1
Apr-24,Machinery and equipment [P72],120.7
May-24,Machinery and equipment [P72],121
Jun-24,Machinery and equipment [P72],121.2
Jul-24,Machinery and equipment [P72],121.4
Aug-24,Machinery and equipment [P72],120.8
Sep-24,Machinery and equipment [P72],120.7
Oct-24,Machinery and equipment [P72],121.5
Nov-24,Machinery and equipment [P72],122.1
Dec-24,Machinery and equipment [P72],123.1
Jan-25,Machinery and equipment [P72],123.6
Mar-20,"Electrical, electronic, audiovisual and telecommunication products [P73]",101.7
Apr-20,"Electrical, electronic, audiovisual and telecommunication products [P73]",102.5
May-20,"Electrical, electronic, audiovisual and telecommunication products [P73]",102.4
Jun-20,"Electrical, electronic, audiovisual and telecommunication products [P73]",101.4
Jul-20,"Electrical, electronic, audiovisual and telecommunication products [P73]",101.9
Aug-20,"Electrical, electronic, audiovisual and telecommunication products [P73]",100.8
Sep-20,"Electrical, electronic, audiovisual and telecommunication products [P73]",100.8
Oct-20,"Electrical, electronic, audiovisual and telecommunication products [P73]",101.1
Nov-20,"Electrical, electronic, audiovisual and telecommunication products [P73]",100.3
Dec-20,"Electrical, electronic, audiovisual and telecommunication products [P73]",101.5
Jan-21,"Electrical, electronic, audiovisual and telecommunication products [P73]",100.2
Feb-21,"Electrical, electronic, audiovisual and telecommunication products [P73]",101.7
Mar-21,"Electrical, electronic, audiovisual and telecommunication products [P73]",102.7
Apr-21,"Electrical, electronic, audiovisual and telecommunication products [P73]",104
May-21,"Electrical, electronic, audiovisual and telecommunication products [P73]",103
Jun-21,"Electrical, electronic, audiovisual and telecommunication products [P73]",105.5
Jul-21,"Electrical, electronic, audiovisual and telecommunication products [P73]",107.1
Aug-21,"Electrical, electronic, audiovisual and telecommunication products [P73]",107
Sep-21,"Electrical, electronic, audiovisual and telecommunication products [P73]",107
Oct-21,"Electrical, electronic, audiovisual and telecommunication products [P73]",110.9
Nov-21,"Electrical, electronic, audiovisual and telecommunication products [P73]",112.4
Dec-21,"Electrical, electronic, audiovisual and telecommunication products [P73]",113.6
Jan-22,"Electrical, electronic, audiovisual and telecommunication products [P73]",114.1
Feb-22,"Electrical, electronic, audiovisual and telecommunication products [P73]",119.2
Mar-22,"Electrical, electronic, audiovisual and telecommunication products [P73]",118
Apr-22,"Electrical, electronic, audiovisual and telecommunication products [P73]",121.1
May-22,"Electrical, electronic, audiovisual and telecommunication products [P73]",120.5
Jun-22,"Electrical, electronic, audiovisual and telecommunication products [P73]",120.9
Jul-22,"Electrical, electronic, audiovisual and telecommunication products [P73]",122.6
Aug-22,"Electrical, electronic, audiovisual and telecommunication products [P73]",122.5
Sep-22,"Electrical, electronic, audiovisual and telecommunication products [P73]",124.4
Oct-22,"Electrical, electronic, audiovisual and telecommunication products [P73]",125.8
Nov-22,"Electrical, electronic, audiovisual and telecommunication products [P73]",124.2
Dec-22,"Electrical, electronic, audiovisual and telecommunication products [P73]",124
Jan-23,"Electrical, electronic, audiovisual and telecommunication products [P73]",126.7
Feb-23,"Electrical, electronic, audiovisual and telecommunication products [P73]",127
Mar-23,"Electrical, electronic, audiovisual and telecommunication products [P73]",126.6
Apr-23,"Electrical, electronic, audiovisual and telecommunication products [P73]",129
May-23,"Electrical, electronic, audiovisual and telecommunication products [P73]",131.9
Jun-23,"Electrical, electronic, audiovisual and telecommunication products [P73]",126.8
Jul-23,"Electrical, electronic, audiovisual and telecommunication products [P73]",127.9
Aug-23,"Electrical, electronic, audiovisual and telecommunication products [P73]",129.5
Sep-23,"Electrical, electronic, audiovisual and telecommunication products [P73]",130.4
Oct-23,"Electrical, electronic, audiovisual and telecommunication products [P73]",129
Nov-23,"Electrical, electronic, audiovisual and telecommunication products [P73]",129.3
Dec-23,"Electrical, electronic, audiovisual and telecommunication products [P73]",128.1
Jan-24,"Electrical, electronic, audiovisual and telecommunication products [P73]",130.1
Feb-24,"Electrical, electronic, audiovisual and telecommunication products [P73]",129.2
Mar-24,"Electrical, electronic, audiovisual and telecommunication products [P73]",129.9
Apr-24,"Electrical, electronic, audiovisual and telecommunication products [P73]",133.8
May-24,"Electrical, electronic, audiovisual and telecommunication products [P73]",136.3
Jun-24,"Electrical, electronic, audiovisual and telecommunication products [P73]",134.6
Jul-24,"Electrical, electronic, audiovisual and telecommunication products [P73]",134.3
Aug-24,"Electrical, electronic, audiovisual and telecommunication products [P73]",134.1
Sep-24,"Electrical, electronic, audiovisual and telecommunication products [P73]",133.8
Oct-24,"Electrical, electronic, audiovisual and telecommunication products [P73]",137.2
Nov-24,"Electrical, electronic, audiovisual and telecommunication products [P73]",138.4
Dec-24,"Electrical, electronic, audiovisual and telecommunication products [P73]",139.7
Jan-25,"Electrical, electronic, audiovisual and telecommunication products [P73]",141.3
Mar-20,Furniture and fixtures [P74],101.9
Apr-20,Furniture and fixtures [P74],102.8
May-20,Furniture and fixtures [P74],101.1
Jun-20,Furniture and fixtures [P74],100.5
Jul-20,Furniture and fixtures [P74],102.6
Aug-20,Furniture and fixtures [P74],102.6
Sep-20,Furniture and fixtures [P74],102.6
Oct-20,Furniture and fixtures [P74],102.6
Nov-20,Furniture and fixtures [P74],101.3
Dec-20,Furniture and fixtures [P74],101.1
Jan-21,Furniture and fixtures [P74],100.5
Feb-21,Furniture and fixtures [P74],101.5
Mar-21,Furniture and fixtures [P74],104.3
Apr-21,Furniture and fixtures [P74],105.5
May-21,Furniture and fixtures [P74],103.2
Jun-21,Furniture and fixtures [P74],103.5
Jul-21,Furniture and fixtures [P74],108.6
Aug-21,Furniture and fixtures [P74],107.4
Sep-21,Furniture and fixtures [P74],106.9
Oct-21,Furniture and fixtures [P74],108.7
Nov-21,Furniture and fixtures [P74],111.6
Dec-21,Furniture and fixtures [P74],110
Jan-22,Furniture and fixtures [P74],110.1
Feb-22,Furniture and fixtures [P74],111.4
Mar-22,Furniture and fixtures [P74],112
Apr-22,Furniture and fixtures [P74],111.9
May-22,Furniture and fixtures [P74],113.2
Jun-22,Furniture and fixtures [P74],115.7
Jul-22,Furniture and fixtures [P74],115
Aug-22,Furniture and fixtures [P74],115.5
Sep-22,Furniture and fixtures [P74],115.4
Oct-22,Furniture and fixtures [P74],115.8
Nov-22,Furniture and fixtures [P74],116.6
Dec-22,Furniture and fixtures [P74],117.3
Jan-23,Furniture and fixtures [P74],117.6
Feb-23,Furniture and fixtures [P74],119.2
Mar-23,Furniture and fixtures [P74],117.6
Apr-23,Furniture and fixtures [P74],115.7
May-23,Furniture and fixtures [P74],115.8
Jun-23,Furniture and fixtures [P74],115.6
Jul-23,Furniture and fixtures [P74],114
Aug-23,Furniture and fixtures [P74],113.2
Sep-23,Furniture and fixtures [P74],114.5
Oct-23,Furniture and fixtures [P74],115.3
Nov-23,Furniture and fixtures [P74],115.6
Dec-23,Furniture and fixtures [P74],113.4
Jan-24,Furniture and fixtures [P74],113.3
Feb-24,Furniture and fixtures [P74],116.7
Mar-24,Furniture and fixtures [P74],113
Apr-24,Furniture and fixtures [P74],114.1
May-24,Furniture and fixtures [P74],114.8
Jun-24,Furniture and fixtures [P74],114.1
Jul-24,Furniture and fixtures [P74],111.9
Aug-24,Furniture and fixtures [P74],114.5
Sep-24,Furniture and fixtures [P74],116.4
Oct-24,Furniture and fixtures [P74],118.2
Nov-24,Furniture and fixtures [P74],115.4
Dec-24,Furniture and fixtures [P74],116.1
Jan-25,Furniture and fixtures [P74],116.2
Mar-20,"Cement, glass, and other non-metallic mineral products [P81]",100.7
Apr-20,"Cement, glass, and other non-metallic mineral products [P81]",100.4
May-20,"Cement, glass, and other non-metallic mineral products [P81]",99.2
Jun-20,"Cement, glass, and other non-metallic mineral products [P81]",99
Jul-20,"Cement, glass, and other non-metallic mineral products [P81]",97.8
Aug-20,"Cement, glass, and other non-metallic mineral products [P81]",97.5
Sep-20,"Cement, glass, and other non-metallic mineral products [P81]",98.3
Oct-20,"Cement, glass, and other non-metallic mineral products [P81]",98.6
Nov-20,"Cement, glass, and other non-metallic mineral products [P81]",99
Dec-20,"Cement, glass, and other non-metallic mineral products [P81]",98.6
Jan-21,"Cement, glass, and other non-metallic mineral products [P81]",99.5
Feb-21,"Cement, glass, and other non-metallic mineral products [P81]",99.8
Mar-21,"Cement, glass, and other non-metallic mineral products [P81]",99.8
Apr-21,"Cement, glass, and other non-metallic mineral products [P81]",100.9
May-21,"Cement, glass, and other non-metallic mineral products [P81]",102.2
Jun-21,"Cement, glass, and other non-metallic mineral products [P81]",103.2
Jul-21,"Cement, glass, and other non-metallic mineral products [P81]",103.6
Aug-21,"Cement, glass, and other non-metallic mineral products [P81]",104
Sep-21,"Cement, glass, and other non-metallic mineral products [P81]",104.3
Oct-21,"Cement, glass, and other non-metallic mineral products [P81]",104.9
Nov-21,"Cement, glass, and other non-metallic mineral products [P81]",104
Dec-21,"Cement, glass, and other non-metallic mineral products [P81]",105.4
Jan-22,"Cement, glass, and other non-metallic mineral products [P81]",107
Feb-22,"Cement, glass, and other non-metallic mineral products [P81]",109.5
Mar-22,"Cement, glass, and other non-metallic mineral products [P81]",109.8
Apr-22,"Cement, glass, and other non-metallic mineral products [P81]",110
May-22,"Cement, glass, and other non-metallic mineral products [P81]",110.3
Jun-22,"Cement, glass, and other non-metallic mineral products [P81]",110.4
Jul-22,"Cement, glass, and other non-metallic mineral products [P81]",113
Aug-22,"Cement, glass, and other non-metallic mineral products [P81]",115.5
Sep-22,"Cement, glass, and other non-metallic mineral products [P81]",115.9
Oct-22,"Cement, glass, and other non-metallic mineral products [P81]",116
Nov-22,"Cement, glass, and other non-metallic mineral products [P81]",115.7
Dec-22,"Cement, glass, and other non-metallic mineral products [P81]",115.9
Jan-23,"Cement, glass, and other non-metallic mineral products [P81]",121.4
Feb-23,"Cement, glass, and other non-metallic mineral products [P81]",122.1
Mar-23,"Cement, glass, and other non-metallic mineral products [P81]",123.8
Apr-23,"Cement, glass, and other non-metallic mineral products [P81]",125.5
May-23,"Cement, glass, and other non-metallic mineral products [P81]",126.4
Jun-23,"Cement, glass, and other non-metallic mineral products [P81]",125.8
Jul-23,"Cement, glass, and other non-metallic mineral products [P81]",125.8
Aug-23,"Cement, glass, and other non-metallic mineral products [P81]",126.5
Sep-23,"Cement, glass, and other non-metallic mineral products [P81]",127.5
Oct-23,"Cement, glass, and other non-metallic mineral products [P81]",128.6
Nov-23,"Cement, glass, and other non-metallic mineral products [P81]",129.7
Dec-23,"Cement, glass, and other non-metallic mineral products [P81]",127.8
Jan-24,"Cement, glass, and other non-metallic mineral products [P81]",130.6
Feb-24,"Cement, glass, and other non-metallic mineral products [P81]",131.3
Mar-24,"Cement, glass, and other non-metallic mineral products [P81]",133.8
Apr-24,"Cement, glass, and other non-metallic mineral products [P81]",135.2
May-24,"Cement, glass, and other non-metallic mineral products [P81]",135.7
Jun-24,"Cement, glass, and other non-metallic mineral products [P81]",135.8
Jul-24,"Cement, glass, and other non-metallic mineral products [P81]",136
Aug-24,"Cement, glass, and other non-metallic mineral products [P81]",136.3
Sep-24,"Cement, glass, and other non-metallic mineral products [P81]",136.8
Oct-24,"Cement, glass, and other non-metallic mineral products [P81]",136.9
Nov-24,"Cement, glass, and other non-metallic mineral products [P81]",136.7
Dec-24,"Cement, glass, and other non-metallic mineral products [P81]",137.1
Jan-25,"Cement, glass, and other non-metallic mineral products [P81]",137.7
Mar-20,Packaging materials and containers [P91],100.2
Apr-20,Packaging materials and containers [P91],100.4
May-20,Packaging materials and containers [P91],100.3
Jun-20,Packaging materials and containers [P91],99.7
Jul-20,Packaging materials and containers [P91],99.7
Aug-20,Packaging materials and containers [P91],99.5
Sep-20,Packaging materials and containers [P91],99.9
Oct-20,Packaging materials and containers [P91],100.2
Nov-20,Packaging materials and containers [P91],101.5
Dec-20,Packaging materials and containers [P91],101.6
Jan-21,Packaging materials and containers [P91],102.3
Feb-21,Packaging materials and containers [P91],103.8
Mar-21,Packaging materials and containers [P91],106.4
Apr-21,Packaging materials and containers [P91],109.4
May-21,Packaging materials and containers [P91],111.1
Jun-21,Packaging materials and containers [P91],111.9
Jul-21,Packaging materials and containers [P91],114.3
Aug-21,Packaging materials and containers [P91],118.1
Sep-21,Packaging materials and containers [P91],119.6
Oct-21,Packaging materials and containers [P91],119.2
Nov-21,Packaging materials and containers [P91],117.9
Dec-21,Packaging materials and containers [P91],118.3
Jan-22,Packaging materials and containers [P91],119.3
Feb-22,Packaging materials and containers [P91],120.1
Mar-22,Packaging materials and containers [P91],122.9
Apr-22,Packaging materials and containers [P91],124.4
May-22,Packaging materials and containers [P91],125.2
Jun-22,Packaging materials and containers [P91],125.9
Jul-22,Packaging materials and containers [P91],127
Aug-22,Packaging materials and containers [P91],127.4
Sep-22,Packaging materials and containers [P91],126.5
Oct-22,Packaging materials and containers [P91],125.2
Nov-22,Packaging materials and containers [P91],124.8
Dec-22,Packaging materials and containers [P91],124.6
Jan-23,Packaging materials and containers [P91],128
Feb-23,Packaging materials and containers [P91],129.1
Mar-23,Packaging materials and containers [P91],130.2
Apr-23,Packaging materials and containers [P91],130.7
May-23,Packaging materials and containers [P91],130.8
Jun-23,Packaging materials and containers [P91],130.7
Jul-23,Packaging materials and containers [P91],128.7
Aug-23,Packaging materials and containers [P91],129.3
Sep-23,Packaging materials and containers [P91],129.3
Oct-23,Packaging materials and containers [P91],128.2
Nov-23,Packaging materials and containers [P91],128.6
Dec-23,Packaging materials and containers [P91],128.7
Jan-24,Packaging materials and containers [P91],128.6
Feb-24,Packaging materials and containers [P91],131.1
Mar-24,Packaging materials and containers [P91],131.4
Apr-24,Packaging materials and containers [P91],131.8
May-24,Packaging materials and containers [P91],132.5
Jun-24,Packaging materials and containers [P91],132
Jul-24,Packaging materials and containers [P91],134
Aug-24,Packaging materials and containers [P91],134.7
Sep-24,Packaging materials and containers [P91],135
Oct-24,Packaging materials and containers [P91],134.9
Nov-24,Packaging materials and containers [P91],135
Dec-24,Packaging materials and containers [P91],135
Jan-25,Packaging materials and containers [P91],135.3
Mar-20,Miscellaneous products [P92],101.8
Apr-20,Miscellaneous products [P92],102.3
May-20,Miscellaneous products [P92],102.3
Jun-20,Miscellaneous products [P92],101.3
Jul-20,Miscellaneous products [P92],100.9
Aug-20,Miscellaneous products [P92],100.4
Sep-20,Miscellaneous products [P92],101.1
Oct-20,Miscellaneous products [P92],101.4
Nov-20,Miscellaneous products [P92],101.5
Dec-20,Miscellaneous products [P92],101.4
Jan-21,Miscellaneous products [P92],101.6
Feb-21,Miscellaneous products [P92],102.5
Mar-21,Miscellaneous products [P92],102.7
Apr-21,Miscellaneous products [P92],103.5
May-21,Miscellaneous products [P92],103.9
Jun-21,Miscellaneous products [P92],104.9
Jul-21,Miscellaneous products [P92],107.1
Aug-21,Miscellaneous products [P92],108
Sep-21,Miscellaneous products [P92],108.7
Oct-21,Miscellaneous products [P92],107.7
Nov-21,Miscellaneous products [P92],108.8
Dec-21,Miscellaneous products [P92],109.5
Jan-22,Miscellaneous products [P92],110.6
Feb-22,Miscellaneous products [P92],110.7
Mar-22,Miscellaneous products [P92],110.9
Apr-22,Miscellaneous products [P92],111.2
May-22,Miscellaneous products [P92],112.4
Jun-22,Miscellaneous products [P92],112.4
Jul-22,Miscellaneous products [P92],112.5
Aug-22,Miscellaneous products [P92],112.4
Sep-22,Miscellaneous products [P92],112.5
Oct-22,Miscellaneous products [P92],112.8
Nov-22,Miscellaneous products [P92],112.7
Dec-22,Miscellaneous products [P92],113.4
Jan-23,Miscellaneous products [P92],113.4
Feb-23,Miscellaneous products [P92],113.5
Mar-23,Miscellaneous products [P92],115.3
Apr-23,Miscellaneous products [P92],114.3
May-23,Miscellaneous products [P92],114.6
Jun-23,Miscellaneous products [P92],114
Jul-23,Miscellaneous products [P92],114.6
Aug-23,Miscellaneous products [P92],115.3
Sep-23,Miscellaneous products [P92],115.5
Oct-23,Miscellaneous products [P92],116.3
Nov-23,Miscellaneous products [P92],116.1
Dec-23,Miscellaneous products [P92],115.8
Jan-24,Miscellaneous products [P92],115.7
Feb-24,Miscellaneous products [P92],119.6
Mar-24,Miscellaneous products [P92],119.2
Apr-24,Miscellaneous products [P92],120.1
May-24,Miscellaneous products [P92],119.9
Jun-24,Miscellaneous products [P92],120.3
Jul-24,Miscellaneous products [P92],120.3
Aug-24,Miscellaneous products [P92],119.9
Sep-24,Miscellaneous products [P92],119.6
Oct-24,Miscellaneous products [P92],120.3
Nov-24,Miscellaneous products [P92],121.1
Dec-24,Miscellaneous products [P92],122.5
Jan-25,Miscellaneous products [P92],123.5
